ticker,ts_utc,date,year,month,o,h,l,c,v,vw,n,t,run_id,market_date,source
VANI,2026-07-08T19:42:00Z,2026-07-08,2026,7,1.585,1.5898,1.585,1.585,1368,1.5850175438596492,13,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:43:00Z,2026-07-08,2026,7,1.585,1.59,1.5812,1.585,2623,1.5872388867708733,16,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:44:00Z,2026-07-08,2026,7,1.585,1.59,1.58,1.585,6540,1.584983226299694,48,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:45:00Z,2026-07-08,2026,7,1.59,1.6,1.59,1.5912,13431,1.5906493336311516,37,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:46:00Z,2026-07-08,2026,7,1.595,1.5987,1.595,1.5987,1590,1.5950116352201258,11,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:47:00Z,2026-07-08,2026,7,1.595,1.6,1.59,1.6,6256,1.593360773657289,17,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:48:00Z,2026-07-08,2026,7,1.6,1.61,1.5911,1.6064,40265,1.6015798460201167,84,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:49:00Z,2026-07-08,2026,7,1.6,1.61,1.6,1.61,5068,1.6055301696921862,23,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:50:00Z,2026-07-08,2026,7,1.605,1.61,1.6002,1.605,3908,1.6065469293756396,107,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:51:00Z,2026-07-08,2026,7,1.6093,1.61,1.59,1.6,7338,1.5984262196783867,89,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:52:00Z,2026-07-08,2026,7,1.6,1.605,1.5813,1.59,10341,1.5960068658737068,207,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:53:00Z,2026-07-08,2026,7,1.59,1.6,1.58,1.5978,9161,1.5919019539351598,86,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:54:00Z,2026-07-08,2026,7,1.6,1.61,1.5901,1.6,5399,1.6020362289312835,60,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:55:00Z,2026-07-08,2026,7,1.61,1.61,1.605,1.61,3499,1.6081383252357817,31,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:56:00Z,2026-07-08,2026,7,1.6098,1.615,1.5924,1.6,9186,1.6057069018070977,110,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:57:00Z,2026-07-08,2026,7,1.6,1.6,1.5901,1.6,8531,1.5961506271246044,52,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:58:00Z,2026-07-08,2026,7,1.6,1.61,1.59,1.61,11823,1.5997929459528037,121,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T19:59:00Z,2026-07-08,2026,7,1.61,1.615,1.59,1.61,38905,1.6072726539005269,236,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T20:00:00Z,2026-07-08,2026,7,1.6,1.6017,1.6,1.6,199,1.6002391959798994,5,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T20:02:00Z,2026-07-08,2026,7,1.61,1.61,1.61,1.61,6,1.61,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T20:03:00Z,2026-07-08,2026,7,1.6,1.6,1.6,1.6,244,1.6,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T20:04:00Z,2026-07-08,2026,7,1.6,1.6,1.6,1.6,9,1.6,9,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VANI,2026-07-08T20:05:00Z,2026-07-08,2026,7,1.6,1.6,1.6,1.6,69,1.6,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
