0,1,2,3,4
,"Joubert, Jacques; Sestovic, Dragan; Barziy, Illya; Distaso, Walter;  Lopez de Prado,  Marcos",The Three Types of Backtests (Enhanced Backtesting for Practitioners),"Journal of Portfolio Management, 51(2), pp. 12-27. 2024.","This article provides practitioners with guidance on adopting more reliable backtesting techniques, by reviewing the three principal types of backtests: Walk-forward, Resampling, and Monte Carlo."
,"Lopez de Prado,  Marcos;  Lipton, Alexander; Zoonekynd, Vincent",The Case for Causal Factor Investing,"Journal of Portfolio Management, 51(1), pp. 146-158. 2024.","This paper explains the dire consequences of factor investing’s specification errors, and calls for the need to rebuild the discipline under the more scientific foundations of causal factor investing."
,"Chung, Joshua; Lopez de Prado,  Marcos;  Simon, Horst D.;  Wu, Kesheng",Data Driven Dimensionality Reduction to Improve Modeling Performance,"Proceedings of the 35th International Conference on Scientific and Statistical Database Management, ACM, 2023.","We propose a new method for the clustering of features, and compare its performance with well-known dimensionality reduction methods. We also design a framework for systemtically optimizing the hyperparameters of dimensionality reduction methods."
,"Diaz Rodriguez, Natalia;  del Ser, Javier;  Coeckelbergh, Mark; Lopez de Prado,  Marcos;  Herrera-Viedma, Enrique;  Herrera, Francisco","Connecting the Dots in Trustworthy Artificial Intelligence: From AI Principles, Ethics, and Key Requirements to Responsible AI Systems and Regulation","Information Fusion, 99. 2023.","Trustworthy Artificial Intelligence (AI) is based on seven technical requirements sustained over three main pillars that should be met throughout the system’s entire life cycle: (1) lawful, (2) ethical, and (3) robust, both from a technical and a social perspective. Our multidisciplinary vision of trustworthy AI also includes a regulation debate, with the purpose of serving as an entry point to this crucial field in the present and future progress of our society."
,"Lopez de Prado,  Marcos",Ranking Empirical Evidence in Finance (The Hierarchy of Empirical Evidence in Finance),"Journal of Portfolio Management, 49(9), pp. 10-29. 2023.","Recent progress in causal inference has opened a path, however difficult, for advancing financial economics beyond its current phenomenological stage. The goal of this article is to propose a hierarchy of empirical evidence, recognizing that not all types of observations have the same scientific weight, in the sense of enabling the falsification of causal claims."
,"Lopez de Prado,  Marcos",Where are the Factors in Factor Investing?,"Journal of Portfolio Management, 49(5), pp. 6-20. 2023.","In this article, I advocate for the use of causal graphs to modernize the field of factor investing, and set it on a logically-coherent foundation."
,"Lopez de Prado,  Marcos",Confidence and Power of the Sharpe Ratio under Multiple Testing (Type I and Type II Errors of the Sharpe Ratio under Multiple Testing),"Journal of Portfolio Management, 49(1), pp. 39-46. 2022.","Most papers in the financial literature estimate the p-value associated with an investment strategy, without reporting the power of the test used to make that discovery. In this paper we provide analytic estimates to Type I and Type II errors for the Sharpe ratios of investments, and derive their familywise counterparts. These estimates allow researchers to carefully design experiments with high confidence and power."
,"Lopez de Prado,  Marcos",Beyond Econometrics: A Roadmap Towards Financial Machine Learning (Machine Learning for Econometricians: The Readme Manual),"Journal of Financial Data Science, 4(3), pp. 1-21. 2022.","This article demonstrates that each analytical step of the econometric process has a homologous step in ML analyses. By clearly stating this correspondence, my goal is to facilitate and reconcile the adoption of ML techniques among econometricians."
,"Lipton, Alexander; Lopez de Prado,  Marcos",Mitigation Strategies for COVID-19: Lessons from the K-SEIR Model,"Journal of Risk and Financial Management, 15(6), 248. 2022.","We propose an extension to SEIR, the standard epidemiology model. Our approach models the dynamics of heterogeneous groups. This is important for managing the spread of COVID-19, because the disease does not impact equally the entire population."
,"Bailey, David H.;  Lopez de Prado,  Marcos",How “Backtest Overfitting” in Finance Leads to False Discoveries,"Significance (Royal Statistical Society), 18(6), pp. 22-25. 2021.","Commercial investment firms pay researchers for publishing academic articles that promote dubious investment strategies, without controlling for multiple testing. As a consequence, today’s academic finance shows some resemblance with medicine’s predicament during the 1950-2000 period, when Big Tobacco paid for thousands of studies in support of their bottom line. Academic finance’s denial of its reproducibility crisis risks its branding as a pseudoscience."
