ticker,dataset,http_status,msg,rows_saved,pages,dropped_mismatch,dropped_missing_ticker,out_file,ts_utc
CAS,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CAS\ratios_CAS.parquet,2026-03-08T13:39:12.595867+00:00
CAP,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=CAP\ratios_CAP.parquet,2026-03-08T13:39:12.622719+00:00
CARA,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=CARA\ratios_CARA.parquet,2026-03-08T13:39:12.634926+00:00
CATB,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=CATB\ratios_CATB.parquet,2026-03-08T13:39:12.644834+00:00
CBIO,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CBIO\ratios_CBIO.parquet,2026-03-08T13:39:12.662691+00:00
CCC,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CCC\ratios_CCC.parquet,2026-03-08T13:39:12.772707+00:00
CISO,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CISO\ratios_CISO.parquet,2026-03-08T13:39:13.800808+00:00
CCS,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CCS\ratios_CCS.parquet,2026-03-08T13:39:13.808066+00:00
CCV,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=CCV\ratios_CCV.parquet,2026-03-08T13:39:13.827722+00:00
CLBR,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=CLBR\ratios_CLBR.parquet,2026-03-08T13:39:13.834493+00:00
CECO,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CECO\ratios_CECO.parquet,2026-03-08T13:39:13.847901+00:00
CLSN,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=CLSN\ratios_CLSN.parquet,2026-03-08T13:39:13.886896+00:00
CMRX,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=CMRX\ratios_CMRX.parquet,2026-03-08T13:39:13.952691+00:00
CNH,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CNH\ratios_CNH.parquet,2026-03-08T13:39:14.000122+00:00
