ticker,year_files,rows,split_non1_rows,div_non1_rows,adj_non1_rows,activation_profile
IRET,16,3643,0,3639,3639,dividend_only
IROQ,16,2868,0,2771,2771,dividend_only
ISAA,2,352,0,302,302,dividend_only
ISBA,6,869,0,869,869,dividend_only
ISNS,17,4040,0,3989,3989,dividend_only
ISTR,13,2900,0,2900,2900,dividend_only
ITIC,22,4959,0,4959,4959,dividend_only
IVAC,21,5092,0,5087,5087,dividend_only
IVC,19,4551,0,3838,3838,dividend_only
IVCB,3,484,0,459,459,dividend_only
JACK,19,4332,0,4090,4090,dividend_only
JBSS,22,5326,0,5326,5326,dividend_only
JCP,16,3870,0,1828,1828,dividend_only
JCS,18,4322,0,853,853,dividend_only
JEM,13,1079,0,890,890,dividend_only
JIVE,11,1964,0,1909,1909,dividend_only
JMSB,5,1039,0,1022,1022,dividend_only
JOAN,4,766,0,376,376,dividend_only
JOUT,22,5217,0,5217,5217,dividend_only
JRSH,9,1952,0,1937,1937,dividend_only
JRVR,16,3413,0,3413,3413,dividend_only
JVA,22,5192,0,5174,5174,dividend_only
KAZ,6,1266,0,826,826,dividend_only
KBAL,10,2158,0,2110,2110,dividend_only
KBDC,3,448,0,448,448,dividend_only
KELYA,22,5327,0,5319,5319,dividend_only
KELYB,22,1420,0,1412,1412,dividend_only
KEQU,22,4803,0,3276,3276,dividend_only
KFFB,22,4264,0,3753,3753,dividend_only
KFRC,22,5327,0,5326,5326,dividend_only
KINS,18,3843,0,3826,3826,dividend_only
KIRK,21,5173,0,2370,2370,dividend_only
KMDA,14,3175,0,3175,3175,dividend_only
KND,14,3397,0,3066,3066,dividend_only
KNOP,14,3247,0,3218,3218,dividend_only
KOP,21,5055,0,5054,5054,dividend_only
KOR,9,1126,0,706,706,dividend_only
KREF,10,2221,0,2221,2221,dividend_only
KRNY,22,5291,0,5269,5269,dividend_only
KRT,7,1302,0,1291,1291,dividend_only
LAKE,22,5304,0,5229,5229,dividend_only
LAND,14,3296,0,3296,3296,dividend_only
LANDO,7,1351,0,1351,1351,dividend_only
LBC,12,2564,0,2233,2233,dividend_only
