ticker,date,rows_for_key,excess_rows
CPS,2020-04-29,8,7
CPS,2020-04-30,8,7
CPS,2020-05-01,8,7
CPS,2020-05-04,8,7
CPS,2020-05-05,8,7
CPS,2020-05-06,8,7
CPS,2020-05-07,8,7
CPS,2020-05-08,4,3
CPS,2020-05-11,8,7
CPS,2020-05-12,8,7
CPS,2020-05-13,8,7
CPS,2020-05-14,8,7
CPS,2020-05-15,8,7
CPS,2020-05-18,8,7
CPS,2020-05-19,8,7
CPS,2020-05-20,8,7
CPS,2020-05-21,8,7
CPS,2020-05-22,8,7
CPS,2020-05-26,8,7
CPS,2020-05-27,8,7
CPS,2020-05-28,8,7
CPS,2020-05-29,8,7
CPS,2020-06-01,8,7
CPS,2020-06-02,8,7
CPS,2020-06-03,8,7
CPS,2020-06-04,8,7
CPS,2020-06-05,8,7
CPS,2020-06-08,8,7
CPS,2020-06-09,8,7
CPS,2020-06-10,8,7
CPS,2020-06-11,8,7
CPS,2020-06-12,8,7
CPS,2020-06-15,8,7
CPS,2020-06-16,8,7
CPS,2020-06-17,8,7
CPS,2020-06-18,8,7
CPS,2020-06-19,8,7
CPS,2020-06-22,8,7
CPS,2020-06-23,8,7
CPS,2020-06-24,8,7
CPS,2020-06-25,8,7
CPS,2020-06-26,8,7
CPS,2020-06-29,8,7
CPS,2020-06-30,8,7
CPS,2020-07-01,8,7
CPS,2020-07-02,8,7
CPS,2020-07-06,8,7
CPS,2020-07-07,8,7
CPS,2020-07-08,8,7
CPS,2020-07-09,8,7
CPS,2020-07-10,8,7
CPS,2020-07-13,8,7
CPS,2020-07-14,4,3
CPS,2020-07-15,8,7
CPS,2020-07-16,8,7
CPS,2020-07-17,8,7
CPS,2020-07-20,8,7
CPS,2020-07-21,8,7
CPS,2020-07-22,8,7
CPS,2020-07-23,8,7
CPS,2020-07-24,8,7
CPS,2020-07-27,8,7
CPS,2020-07-28,8,7
CPS,2020-07-29,8,7
CPS,2020-07-30,8,7
CPS,2020-07-31,8,7
CPS,2020-08-03,8,7
CPS,2020-08-04,8,7
CPS,2020-08-05,8,7
CPS,2020-08-06,8,7
CPS,2020-08-07,8,7
CPS,2020-08-10,8,7
CPS,2020-08-11,8,7
CPS,2020-08-12,8,7
CPS,2020-08-13,8,7
CPS,2020-08-14,8,7
CPS,2020-08-17,8,7
CPS,2020-08-18,8,7
CPS,2020-08-19,8,7
CPS,2020-08-20,8,7
CPS,2020-08-21,8,7
CPS,2020-08-24,8,7
CPS,2020-08-25,8,7
CPS,2020-08-26,8,7
CPS,2020-08-27,8,7
CPS,2020-08-28,8,7
CPS,2020-08-31,8,7
CPS,2020-09-01,8,7
CPS,2020-09-02,8,7
CPS,2020-09-03,8,7
CPS,2020-09-04,8,7
CPS,2020-09-08,8,7
CPS,2020-09-09,8,7
CPS,2020-09-10,8,7
CPS,2020-09-11,8,7
CPS,2020-09-14,8,7
CPS,2020-09-15,8,7
CPS,2020-09-16,8,7
CPS,2020-09-17,8,7
CPS,2020-09-18,8,7
CPS,2020-09-21,8,7
CPS,2020-09-22,8,7
CPS,2020-09-23,8,7
CPS,2020-09-24,8,7
CPS,2020-09-25,8,7
CPS,2020-09-28,8,7
CPS,2020-09-29,8,7
CPS,2020-09-30,8,7
CPS,2020-10-01,8,7
CPS,2020-10-02,8,7
CPS,2020-10-05,8,7
CPS,2020-10-06,8,7
