ticker,dividend_type,event_date,cash_amount,first_date,last_date,within_daily_window
UBCP,SC,2026-03-10,0.175,2005-01-03,2026-03-06,False
UBCP,SC,2025-03-10,0.175,2005-01-03,2026-03-06,True
UBCP,SC,2024-03-07,0.15,2005-01-03,2026-03-06,True
UBCP,SC,2023-03-09,0.15,2005-01-03,2026-03-06,True
UBFO,SC,2017-05-04,0.05,2005-01-04,2026-03-06,True
USEA,SC,2023-01-11,1.0,2022-07-06,2026-03-06,True
UTMD,SC,2021-12-14,2.0,2005-01-03,2026-03-06,True
UTZ,SC,2025-04-07,0.011,2020-08-31,2026-03-06,True
UTZ,SC,2024-06-17,0.021,2020-08-31,2026-03-06,True
UUU,SC,2025-09-26,1.0,2005-01-03,2026-03-06,True
VHC,SC,2023-04-18,1.0,2007-12-26,2026-03-06,True
WEYS,SC,2024-11-18,2.0,2005-01-03,2026-03-06,True
WILC,SC,2026-04-13,0.51,2006-03-14,2026-03-06,False
WILC,SC,2025-03-24,0.58,2006-03-14,2026-03-06,True
WILC,SC,2021-09-09,1.347399,2006-03-14,2026-03-06,True
WVFC,SC,2024-05-10,0.04,2005-01-03,2026-02-27,True
XONE,SC,2025-12-30,0.15891,2013-02-07,2026-03-06,True
