relative_path,column,rows,nulls,inf_rows,min,max,mean
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,multi_session_return_5d_to_open,23,5,0,-0.5938967136150235,0.1548387096774193,-0.17601747314680002
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,distance_to_prev_day_range_center,23,1,0,-0.6676272814601345,0.14571746384872086,-0.029125370725243505
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,prev_day_range_pct_norm,23,1,0,0.0,0.38724860932819843,0.14534062181647206
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,range_expansion_vs_prev_day_norm,23,4,0,-1.0,2.657894736842099,0.0554188988278969
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,distance_to_n_day_high_5,23,2,0,-0.6964912280701754,-0.05600000000000005,-0.2599924851096751
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,distance_to_n_day_low_5,23,2,0,-0.5644840520605191,0.8715929739551782,0.2212116716652923
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,realized_vol_prev_3_sessions_norm,23,1,0,0.0,0.22421632880362274,0.1201616636922223
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,overnight_gap_zscore_20,23,6,0,-31.8414872574734,0.44867242610192704,-1.7676485667945028
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,year,23,0,0,2014.0,2014.0,2014.0
ticker=PD/year=2006/day_features_PD_2006.parquet,bar_count_raw,23,0,0,387.0,440.0,406.30434782608694
ticker=PD/year=2006/day_features_PD_2006.parquet,open_raw,23,0,0,66.0,81.45,72.44760869565218
ticker=PD/year=2006/day_features_PD_2006.parquet,close_raw,23,0,0,66.0,81.45,72.80268260869566
ticker=PD/year=2006/day_features_PD_2006.parquet,high_raw,23,0,0,67.645,82.56,74.06630434782609
